index,Age,Gender,Ethnicity,Hair Style,Hair Color,Hair Length,Eye Color,Body Type,Dress
danbooru_1329597_12e81cb275df88fcc46d80ccf9e20841.txt_0,2,0,3,4,1,0,2,7,26
danbooru_5846809_d40226fbdcd41f00ccc74d8f23efc2c1.txt_1,7,1,5,10,0,2,5,0,12
danbooru_2719090_f6240a50566c5bd0c596d23063a5c7a9.txt_0,3,0,3,4,1,3,2,8,20
danbooru_1204804_dfa27a941a4bc4d783ac80d4a3616a26.txt_0,7,0,3,4,0,0,11,7,13
danbooru_2758066_02e53aeb7fb9e23ffb9bf112df71488d.txt_0,3,0,5,4,5,3,2,9,20
danbooru_5869566_b68bf570484989a8cc272b70d693a17b.txt_1,7,1,5,11,0,2,4,8,15
danbooru_5905213_674566e182f6aaf87b54a73bda16155b.txt_1,7,1,3,12,1,2,3,7,12
danbooru_5813945_0700684f29a9b3600102447450213de6.txt_1,7,1,3,10,1,2,2,7,9
danbooru_4426731_d3633f91847bd27416ac7b161c7c9e17.txt_0,0,1,3,12,0,0,3,4,13
danbooru_5815863_a79c36c4c349dc20ddf3047d63ce5a07.txt_1,7,1,3,12,1,2,2,7,13
danbooru_2728051_9f12b3a3ad75fcb0fed99ee55f15f954.txt_0,3,0,3,4,2,0,2,4,20
danbooru_1997219_f60a58f0b61fae6b01c09387317a0612.txt_0,3,0,3,4,0,0,3,4,15
danbooru_1981534_de9149ad038a353383fc223ab868ca9a.txt_0,5,0,3,12,0,0,1,4,23
danbooru_4564855_870e313393628bfcc47986de191faaf4.txt_1,5,0,3,12,1,0,2,7,22
danbooru_1673580_9c60b5cdb5facb9df7af7b38d9b7a4dc.txt_0,2,0,3,12,3,1,3,7,23
danbooru_5851085_913a41479d1d43957ec8f18ce558f69d.txt_1,8,1,3,10,0,2,2,7,9
danbooru_2715490_ad163bc261f6d46e5f2841dee7ad3618.txt_0,0,0,3,4,4,0,0,7,25
danbooru_4471810_e520721cb3cb776f46b7a06fbcbbe884.txt_0,8,0,5,10,10,2,11,8,25
danbooru_4961265_8c421ec7c8bfd6d55f98db9781e1526b.txt_1,5,0,3,12,0,0,3,7,23
danbooru_5777690_8401af7143b44eb0d197808f307ba366.txt_1,0,0,5,12,0,2,12,9,5
danbooru_3414893_8386277c4480778d39dc9e2782a76d31.txt_0,5,0,3,9,3,0,3,7,23
danbooru_1793899_36de87e7dd3e6d378ba973164671ab7c.txt_0,2,0,3,4,0,0,3,4,23
danbooru_2051231_3d04749fc693260ec960ded7b1349977.txt_0,5,0,3,12,0,0,1,4,23
danbooru_5763821_61b32dc83cc1f98b305e6f285a40948e.txt_1,0,1,5,10,3,2,3,7,28
danbooru_5763887_5ca27388fcbd4c46128e62f8c737066d.txt_1,7,1,5,12,1,2,4,0,25
danbooru_5340580_514464ab2a3198db7c54de4de477d439.txt_1,5,0,3,12,0,0,11,7,23
danbooru_4772236_83d98a10490730edcbf033b79c2e72b9.txt_1,5,0,3,4,1,0,2,1,22
danbooru_5452873_5d195038f4a05e1a0d2870d3c906493e.txt_1,5,0,3,5,7,0,4,7,23
danbooru_5437216_4bb25d20ea5e01276fffcd9aa7d7af71.txt_1,7,0,5,12,0,0,11,7,27
danbooru_1425950_33aa4d8e98ce11ade22e4e7418b2ac03.txt_0,2,0,3,4,0,0,2,7,23
danbooru_1400801_368fdef48b5fa189a78d313a65a4ecb2.txt_0,2,0,3,4,0,0,3,4,23
danbooru_5639806_03a63709b216ea4f86830b29fec55956.txt_1,1,0,5,9,7,1,4,8,1
danbooru_5851161_2b62094dc8aebc716d041058e66f1853.txt_1,7,1,5,10,1,2,0,9,4
danbooru_5641168_40f2cd46db38482879fe89f24f95cd5a.txt_1,7,0,5,10,3,2,11,8,30
danbooru_5848614_1aeeae68f7b27f188de6abe9108db0d3.txt_1,7,1,5,10,1,2,2,8,4
danbooru_1723358_e5b4dfc16e43ccc40a78cc8f898aac15.txt_0,2,0,3,12,0,0,3,4,23
danbooru_2327250_806d65f08fd7c33ae9cfc4683cdddacb.txt_0,3,0,3,10,3,2,3,7,26
danbooru_5386833_97938cbf51583440f0a825d88a8b099d.txt_1,7,1,5,12,10,2,2,7,11
danbooru_4397308_2da712f55a2780aab5543171ca836e28.txt_0,7,1,0,12,0,2,1,7,11
danbooru_4322777_1f9ebcf94f75dacb298ff67adbd1e672.txt_0,7,1,5,10,0,2,12,9,11
danbooru_1288299_5a017cc9dbee2d636a0aa2cc294ab5e7.txt_0,2,0,3,12,3,2,5,7,23
danbooru_4364610_5d2fc85b7fc3227f4fed161f2b72de09.txt_0,7,0,3,12,0,1,5,1,13
danbooru_5389514_4caa3ee9e44421db403b16e7f08e25c7.txt_1,7,1,5,12,10,2,2,7,11
danbooru_4654754_beeac39628b03b4f35a4fcbd1bf3e49f.txt_1,7,1,3,10,0,2,2,7,10
danbooru_2765385_253154b00e7b1280ff3498315ba5d1f7.txt_0,3,0,5,10,8,2,10,2,0
danbooru_5833715_5cc9025e9e5a3fb21974a03c42d86520.txt_1,7,1,5,5,9,1,12,9,12
danbooru_1843697_39cc47af0fe1d53bd7fcf9094cad2958.txt_0,2,0,3,4,0,0,11,7,10
danbooru_5814153_df27e67acded8e6f05841a65bb450aef.txt_1,6,1,3,10,1,2,4,0,25
danbooru_2746665_81fff42031915846bda5bb050d6f001f.txt_0,3,0,1,4,1,0,3,8,14
danbooru_470415_4c3f702cd290e534a2db38207f048bbc.txt_1,5,0,3,12,3,2,3,4,23
danbooru_5528274_ca64d64a8793babf3e90aec868fb28ae.txt_1,1,0,5,10,7,2,4,9,20
danbooru_5813896_b03716a8d9ac79134b6c6f7db7d180f5.txt_1,7,1,5,10,1,2,2,0,20
danbooru_4441544_d1271f5d53e32eeebb632bb996ec8905.txt_0,7,0,3,4,0,0,11,7,10
danbooru_5306109_4359a7927687e97a6569c8406ddced6d.txt_1,1,0,5,7,7,0,4,9,23
danbooru_3076088_0ae2eefd917237bb69c53c745a83faf3.txt_0,4,0,3,12,3,1,3,8,23
danbooru_2774832_869f1f6737250d114c346883e2eb5576.txt_0,3,0,2,13,1,0,3,4,0
danbooru_470426_d413d4fba0e68c6b986ffe51efe3668c.txt_1,5,0,3,4,0,0,3,4,23
danbooru_2192494_591e07dde4fcd0baf7f406c70a62bd3f.txt_0,3,0,3,12,3,2,3,4,23
danbooru_2725273_55e4ac22a48e68a3644e221583d255db.txt_0,3,0,3,4,4,0,2,7,20
danbooru_4451223_f4ec4d08882d5aa63849a65653d3787f.txt_0,7,1,3,10,0,2,4,3,13
danbooru_1382855_f0190cf8af0d08906b87ea06ea5abc5a.txt_0,2,0,3,4,0,0,11,7,14
danbooru_4752109_89593fb623f60cc90cf9385248fad005.txt_1,7,1,3,10,0,2,2,0,11
danbooru_5475423_66e771b4dd3d4d11e8a00d11287146b6.txt_1,5,1,3,11,0,2,4,7,23
danbooru_5819407_7ca5c1627169c79778a2285dc47462e2.txt_1,1,0,5,8,7,1,4,8,23
danbooru_3775784_b3b5aeb7e6d6614a096e29608b17533d.txt_0,4,0,3,4,10,3,2,4,23
danbooru_5922328_ab5285f128f510ed62dae2cd5f66b9ca.txt_1,8,1,0,10,1,2,3,7,25
danbooru_5923332_3537abbc97ee77ee2932de007456d476.txt_1,7,1,5,1,0,2,12,9,12
danbooru_1181194_80079faf590583ad5befdbfda1312ed8.txt_0,2,0,3,4,0,0,10,8,8
danbooru_1809398_74eed90691a4db4fc9b1f7b11041daca.txt_0,2,0,3,12,3,2,3,7,23
danbooru_5876581_629ad223ea6bf4c8979222988d3b8336.txt_1,0,0,5,4,7,0,12,9,9
danbooru_2765641_d99acd4481dd77d2a16d8be0e10e8680.txt_0,3,0,3,4,4,0,2,8,0
danbooru_5361827_2084a9a8345ac0b7cfe956698dc2927a.txt_1,1,0,5,7,7,2,4,8,20
danbooru_1549765_da4aa91ddff9ad8f22e56569b783211c.txt_0,2,0,3,4,0,0,2,1,23
danbooru_2841579_a19a4b4ebc6d649b582aad1a1096bb45.txt_0,3,0,3,12,0,0,3,4,23
danbooru_2720289_0af14659128fe7be981ab2a5644c3abc.txt_0,0,0,5,4,4,0,0,8,20
danbooru_4162563_2b36510b98bf6ff14b747f0668616631.txt_0,5,0,3,10,3,2,3,7,23
danbooru_4138756_fcec61c66272f215d2c1718371c37007.txt_0,4,0,3,10,3,2,3,7,22
danbooru_2761887_2020d163779121a9908ef6cf0392c203.txt_0,3,0,2,4,9,0,7,6,14
danbooru_4428484_96c82acd6dae77f4dbace0e37208f76a.txt_0,0,1,3,12,0,0,3,3,28
danbooru_5808727_f1e7b3a849290f232d77d04ecbff42ed.txt_1,7,1,0,12,1,2,2,0,6
danbooru_1414751_737760f960db2a0fc6dfa8db147710cd.txt_0,2,0,3,4,1,0,2,4,5
danbooru_5757299_0df3d8430f0c5a369097d8751e81b61f.txt_1,7,1,5,10,0,2,12,9,11
danbooru_2262451_5f9b2b5b668e84f999f061af1b8e0bfa.txt_0,3,0,3,4,1,0,4,4,25
danbooru_4793295_44205400cebfd4324d98e43a39e5c8b8.txt_1,7,0,3,12,3,2,3,7,23
danbooru_3604298_e6f4ed9958517988954d4a2624ebc752.txt_0,4,0,5,10,3,2,2,9,24
danbooru_5427990_b74ee00b185fa2bb87129446b74ac17b.txt_1,0,0,5,12,0,0,11,9,24
